Address,Lat,Lon
India,22.3511148,78.6677428
"Hyderabad, India",17.360589,78.4740613
"Nashville, TN",36.1622767,-86.7742984
Portugal,39.6621648,-8.1353519
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
Lagos,6.4550575,3.3941795
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
Lagos,6.4550575,3.3941795
New Jersey,40.0757384,-74.4041622
New Jersey,40.0757384,-74.4041622
"Irvine, CA",33.6856969,-117.8259819
"Perth, Western Australia",-31.9558964,115.8605801
Norway,61.1529386,8.7876653
Noosa,-26.3181415,152.93140931825064
"Irvine, CA",33.6856969,-117.8259819
"Perth, Western Australia",-31.9558964,115.8605801
Norway,61.1529386,8.7876653
Noosa,-26.3181415,152.93140931825064
"lawrence, ks",38.9719384,-95.2359496
"Ann Arbor, MI",42.2681569,-83.7312291
"Los Angeles, CA ☀️🌴",34.0536909,-118.242766
United States,39.7837304,-100.445882
"Queens, NY",40.7135078,-73.8283132
Mumbai ,19.0785451,72.878176
"lawrence, ks",38.9719384,-95.2359496
"Ann Arbor, MI",42.2681569,-83.7312291
"Los Angeles, CA ☀️🌴",34.0536909,-118.242766
United States,39.7837304,-100.445882
"Queens, NY",40.7135078,-73.8283132
Mumbai ,19.0785451,72.878176
"Tampa, FL",27.9477595,-82.458444
"Bengaluru, India",12.9767936,77.590082
Chicago,41.8755616,-87.6244212
Atlanta,33.7489924,-84.3902644
United States,39.7837304,-100.445882
Ottawa,45.4208777,-75.6901106
"Georgia, USA",32.3293809,-83.1137366
"Oregon, USA",43.9792797,-120.737257
"New York, USA",40.7127281,-74.0060152
"Kansas City, MO",39.100105,-94.5781416
"Missoula, MT",46.8701049,-113.995267
"Nova Iorque, Estados Unidos",40.7127281,-74.0060152
"Richmond Heights, MO",38.6282707,-90.3191285
"Los Angeles, CA",34.0536909,-118.242766
"Los Angeles, CA",34.0536909,-118.242766
"Tampa, FL",27.9477595,-82.458444
"Bengaluru, India",12.9767936,77.590082
Chicago,41.8755616,-87.6244212
Atlanta,33.7489924,-84.3902644
United States,39.7837304,-100.445882
Ottawa,45.4208777,-75.6901106
"Georgia, USA",32.3293809,-83.1137366
"Oregon, USA",43.9792797,-120.737257
"New York, USA",40.7127281,-74.0060152
"Kansas City, MO",39.100105,-94.5781416
"Missoula, MT",46.8701049,-113.995267
"Nova Iorque, Estados Unidos",40.7127281,-74.0060152
"Richmond Heights, MO",38.6282707,-90.3191285
"Los Angeles, CA",34.0536909,-118.242766
"Los Angeles, CA",34.0536909,-118.242766
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
Lagos,6.4550575,3.3941795
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
Lagos,6.4550575,3.3941795
New Jersey,40.0757384,-74.4041622
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
Lagos,6.4550575,3.3941795
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
Lagos,6.4550575,3.3941795
New Jersey,40.0757384,-74.4041622
New Jersey,40.0757384,-74.4041622
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
Lagos,6.4550575,3.3941795
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
Lagos,6.4550575,3.3941795
New Jersey,40.0757384,-74.4041622
New Jersey,40.0757384,-74.4041622
"Irvine, CA",33.6856969,-117.8259819
"Perth, Western Australia",-31.9558964,115.8605801
Norway,61.1529386,8.7876653
Noosa,-26.3181415,152.93140931825064
"Irvine, CA",33.6856969,-117.8259819
"Perth, Western Australia",-31.9558964,115.8605801
Norway,61.1529386,8.7876653
Noosa,-26.3181415,152.93140931825064
"lawrence, ks",38.9719384,-95.2359496
"Ann Arbor, MI",42.2681569,-83.7312291
"Los Angeles, CA ☀️🌴",34.0536909,-118.242766
United States,39.7837304,-100.445882
"Queens, NY",40.7135078,-73.8283132
Mumbai ,19.0785451,72.878176
"lawrence, ks",38.9719384,-95.2359496
"Ann Arbor, MI",42.2681569,-83.7312291
"Los Angeles, CA ☀️🌴",34.0536909,-118.242766
United States,39.7837304,-100.445882
"Queens, NY",40.7135078,-73.8283132
Mumbai ,19.0785451,72.878176
"Tampa, FL",27.9477595,-82.458444
"Bengaluru, India",12.9767936,77.590082
Chicago,41.8755616,-87.6244212
Atlanta,33.7489924,-84.3902644
United States,39.7837304,-100.445882
Ottawa,45.4208777,-75.6901106
"Georgia, USA",32.3293809,-83.1137366
"Oregon, USA",43.9792797,-120.737257
"New York, USA",40.7127281,-74.0060152
"Kansas City, MO",39.100105,-94.5781416
"Missoula, MT",46.8701049,-113.995267
"Nova Iorque, Estados Unidos",40.7127281,-74.0060152
"Richmond Heights, MO",38.6282707,-90.3191285
"Los Angeles, CA",34.0536909,-118.242766
"Los Angeles, CA",34.0536909,-118.242766
"Tampa, FL",27.9477595,-82.458444
"Bengaluru, India",12.9767936,77.590082
Chicago,41.8755616,-87.6244212
Atlanta,33.7489924,-84.3902644
United States,39.7837304,-100.445882
Ottawa,45.4208777,-75.6901106
"Georgia, USA",32.3293809,-83.1137366
"Oregon, USA",43.9792797,-120.737257
"New York, USA",40.7127281,-74.0060152
"Kansas City, MO",39.100105,-94.5781416
"Missoula, MT",46.8701049,-113.995267
"Nova Iorque, Estados Unidos",40.7127281,-74.0060152
"Richmond Heights, MO",38.6282707,-90.3191285
"Los Angeles, CA",34.0536909,-118.242766
"Los Angeles, CA",34.0536909,-118.242766
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
Lagos,6.4550575,3.3941795
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
Lagos,6.4550575,3.3941795
New Jersey,40.0757384,-74.4041622
New Jersey,40.0757384,-74.4041622
"Irvine, CA",33.6856969,-117.8259819
"Perth, Western Australia",-31.9558964,115.8605801
Norway,61.1529386,8.7876653
Noosa,-26.3181415,152.93140931825064
"Irvine, CA",33.6856969,-117.8259819
"Perth, Western Australia",-31.9558964,115.8605801
Norway,61.1529386,8.7876653
Noosa,-26.3181415,152.93140931825064
"lawrence, ks",38.9719384,-95.2359496
"Ann Arbor, MI",42.2681569,-83.7312291
"Los Angeles, CA ☀️🌴",34.0536909,-118.242766
United States,39.7837304,-100.445882
"Queens, NY",40.7135078,-73.8283132
Mumbai ,19.0785451,72.878176
"lawrence, ks",38.9719384,-95.2359496
"Ann Arbor, MI",42.2681569,-83.7312291
"Los Angeles, CA ☀️🌴",34.0536909,-118.242766
United States,39.7837304,-100.445882
"Queens, NY",40.7135078,-73.8283132
Mumbai ,19.0785451,72.878176
"Tampa, FL",27.9477595,-82.458444
"Bengaluru, India",12.9767936,77.590082
Chicago,41.8755616,-87.6244212
Atlanta,33.7489924,-84.3902644
United States,39.7837304,-100.445882
Ottawa,45.4208777,-75.6901106
"Georgia, USA",32.3293809,-83.1137366
"Oregon, USA",43.9792797,-120.737257
"New York, USA",40.7127281,-74.0060152
"Kansas City, MO",39.100105,-94.5781416
"Missoula, MT",46.8701049,-113.995267
"Nova Iorque, Estados Unidos",40.7127281,-74.0060152
"Richmond Heights, MO",38.6282707,-90.3191285
"Los Angeles, CA",34.0536909,-118.242766
"Los Angeles, CA",34.0536909,-118.242766
"Tampa, FL",27.9477595,-82.458444
"Bengaluru, India",12.9767936,77.590082
Chicago,41.8755616,-87.6244212
Atlanta,33.7489924,-84.3902644
United States,39.7837304,-100.445882
Ottawa,45.4208777,-75.6901106
"Georgia, USA",32.3293809,-83.1137366
"Oregon, USA",43.9792797,-120.737257
"New York, USA",40.7127281,-74.0060152
"Kansas City, MO",39.100105,-94.5781416
"Missoula, MT",46.8701049,-113.995267
"Nova Iorque, Estados Unidos",40.7127281,-74.0060152
"Richmond Heights, MO",38.6282707,-90.3191285
"Los Angeles, CA",34.0536909,-118.242766
"Los Angeles, CA",34.0536909,-118.242766
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
Lagos,6.4550575,3.3941795
United Kingdom,54.7023545,-3.2765753
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
Lagos,6.4550575,3.3941795
United Kingdom,54.7023545,-3.2765753
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
Lagos,6.4550575,3.3941795
United Kingdom,54.7023545,-3.2765753
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
"Hyderabad, India",17.360589,78.4740613
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
Lagos,6.4550575,3.3941795
United Kingdom,54.7023545,-3.2765753
India,22.3511148,78.6677428
"Hyderabad, India",17.360589,78.4740613
"Nashville, TN",36.1622767,-86.7742984
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
India,22.3511148,78.6677428
"Hyderabad, India",17.360589,78.4740613
"Nashville, TN",36.1622767,-86.7742984
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
"Saint Augustine, FL",29.8946952,-81.3145395
"Salt Lake City, UT",40.7596198,-111.886797
Im Norden,51.7754824,7.2248089
"Cornwall, NY",41.434444,-74.035833
India,22.3511148,78.6677428
"Hyderabad, India",17.360589,78.4740613
"Nashville, TN",36.1622767,-86.7742984
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
India,22.3511148,78.6677428
"Hyderabad, India",17.360589,78.4740613
"Nashville, TN",36.1622767,-86.7742984
Portugal,39.6621648,-8.1353519
"New York, NY",40.7127281,-74.0060152
"Arlington, VA",38.8769326,-77.0893094
northern ireland,54.5859836,-6.9591554
northern ireland,54.5859836,-6.9591554
"Noida, India",28.5707841,77.3271074
Portugal,39.6621648,-8.1353519
northern ireland,54.5859836,-6.9591554
United Kingdom,54.7023545,-3.2765753
"Salt Lake City, UT",40.7596198,-111.886797
Toronto,43.6534817,-79.3839347
